Datum:,,,,,,,,,,,,,,,,
Messstrecke:,,1-20-S_2-38-S,,,,,,,,,,,,,,
Gesamtlänge:,,150 m,,,,,,,,,,,,,,
Durchmesser:,,300,,,,,,,,,,,,,,
Startzeit:,,10:00,,,,,,,,,,,,,,
Endzeit:,,10:30,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tiefe,Zeit (Kamera),Tiefe,Zeit (Kamera),Tiefe,Zeit (Kamera),Tiefe,Zeit (Kamera),,Tiefe,Zeit (Kamera),Tiefe,Zeit (Kamera),Tiefe,Zeit (Kamera),Tiefe,Zeit (Kamera)
0,34:39:00,21,39:08:00,42,41:55:00,63,44:27:00,,84,47:19:00,105,,126,,147,
1,34:52:00,22,39:15:00,43,42:03:00,64,44:35:00,,85,47:24:00,106,,127,,148,
2,35:01:00,23,39:23:00,44,42:10:00,65,44:45:00,,86,47:29:00,107,,128,,149,
3,35:55:00,24,39:31:00,45,42:19:00,66,44:51:00,,87,47:37:00,108,,129,,150,
4,36:12:00,25,39:40:00,46,42:27:00,67,44:57:00,,88,47:43:00,109,,130,,151,
5,36:13:00,26,39:47:00,47,42:35:00,68,45:12:00,,89,47:56:00,110,,131,,152,
6,36:56:00,27,39:57:00,48,42:43:00,69,45:25:00,,90,48:01:00,111,,132,,153,
7,37:06:00,28,40:03:00,49,42:50:00,70,45:37:00,,91,48:06:00,112,,133,,154,
8,37:16:00,29,40:10:00,50,52:55:00,71,45:43:00,,92,48:14:00,113,,134,,155,
9,37:26:00,30,40:18:00,51,43:02:00,72,45:52:00,,93,48:19:00,114,,135,,156,
10,37:40:00,31,40:24:00,52,43:05:00,73,46:00:00,,94,48:29:00,115,,136,,157,
11,37:45:00,32,40:33:00,53,43:13:00,74,46:07:00,,95,48:37:00,116,,137,,158,
12,37:53:00,33,40:40:00,54,43:22:00,75,46:15:00,,96,48:48:00,117,,138,,159,
13,38:01:00,34,40:49:00,55,43:28:00,76,46:20:00,,97,48:54:00,118,,139,,160,
14,38:10:00,35,40:55:00,56,43:25:00,77,46:28:00,,98,49:07:00,119,,140,,161,
15,38:17:00,36,41:01:00,57,43:41:00,78,46:37:00,,99,Rohr zu,120,,141,,162,
16,38:25:00,37,41:10:00,58,43:47:00,79,46:43:00,,100,,121,,142,,163,
17,38:34:00,38,41:17:00,59,43:58:00,80,46:50:00,,101,,122,,143,,164,
18,38:40:00,39,41:26:00,60,44:03:00,81,46:56:00,,102,,123,,144,,165,
19,38:45:00,40,41:37:00,61,44:07:00,82,46:59:00,,103,,124,,145,,166,
20,38:58:00,41,41:47:00,62,44:16:00,83,47:10:00,,104,,125,,146,,167,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tiefe,Zeit,Tiefe,Zeit,Tiefe,Zeit,Tiefe,Zeit,,,,,,,,,
168,,189,,210,,231,,,,,,,,,,
168.5,,189.5,,210.5,,231.5,,,,,,,,,,
169,,190,,211,,232,,,,,,,,,,
169.5,,190.5,,211.5,,232.5,,,,,,,,,,
170,,191,,212,,233,,,,,,,,,,
170.5,,191.5,,212.5,,233.5,,,,,,,,,,
171,,192,,213,,234,,,,,,,,,,
171.5,,192.5,,213.5,,234.5,,,,,,,,,,
172,,193,,214,,235,,,,,,,,,,
172.5,,193.5,,214.5,,235.5,,,,,,,,,,
173,,194,,215,,236,,,,,,,,,,
173.5,,194.5,,215.5,,236.5,,,,,,,,,,
174,,195,,216,,237,,,,,,,,,,
174.5,,195.5,,216.5,,237.5,,,,,,,,,,
175,,196,,217,,238,,,,,,,,,,
175.5,,196.5,,217.5,,238.5,,,,,,,,,,
176,,197,,218,,239,,,,,,,,,,
176.5,,197.5,,218.5,,239.5,,,,,,,,,,
177,,198,,219,,240,,,,,,,,,,
177.5,,198.5,,219.5,,240.5,,,,,,,,,,
178,,199,,220,,241,,,,,,,,,,
178.5,,199.5,,220.5,,241.5,,,,,,,,,,
179,,200,,221,,242,,,,,,,,,,
179.5,,200.5,,221.5,,242.5,,,,,,,,,,
180,,201,,222,,243,,,,,,,,,,
180.5,,201.5,,222.5,,243.5,,,,,,,,,,
181,,202,,223,,244,,,,,,,,,,
181.5,,202.5,,223.5,,244.5,,,,,,,,,,
182,,203,,224,,245,,,,,,,,,,
182.5,,203.5,,224.5,,245.5,,,,,,,,,,
183,,204,,225,,246,,,,,,,,,,
183.5,,204.5,,225.5,,246.5,,,,,,,,,,
184,,205,,226,,247,,,,,,,,,,
184.5,,205.5,,226.5,,247.5,,,,,,,,,,
185,,206,,227,,248,,,,,,,,,,
185.5,,206.5,,227.5,,248.5,,,,,,,,,,
186,,207,,228,,249,,,,,,,,,,
186.5,,207.5,,228.5,,249.5,,,,,,,,,,
187,,208,,229,,250,,,,,,,,,,
187.5,,208.5,,229.5,,250.5,,,,,,,,,,
188,,209,,230,,251,,,,,,,,,,
188.5,,209.5,,230.5,,251.5,,,,,,,,,,
